Équipement,ID d'équipement,Données performance,Période statistique,Heure de début stats,Valeur,Unité,
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2020-02-15 00:00:00, 0.08, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2020-02-15 00:00:00, 31.04, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2020-02-18 00:00:00, 19.370, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2020-02-18 00:00:00, 48.281, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2020-02-18 00:00:00, 1.691,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2020-02-18 00:00:00, 0,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2020-02-18 00:00:00, 0,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2020-02-18 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2020-02-18 00:00:00, 32, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2020-02-18 00:00:00, 29, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2020-02-18 00:00:00, 31, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2020-02-18 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2020-02-18 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2020-02-18 00:00:00, 0.01, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2020-02-18 00:00:00, 2.30, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2020-02-26 00:00:00, 20.016, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2020-02-26 00:00:00, 49.889, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2020-02-26 00:00:00, 1.691,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2020-02-26 00:00:00, 0,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2020-02-26 00:00:00, 0,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2020-02-26 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2020-02-26 00:00:00, 35, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2020-02-26 00:00:00, 31, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2020-02-26 00:00:00, 33, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2020-02-26 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2020-02-26 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2020-02-26 00:00:00, 0.00, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2020-02-26 00:00:00, 1.61, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2020-03-04 00:00:00, 24.490, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2020-03-04 00:00:00, 61.042, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2020-03-04 00:00:00, 1.691,  
Coffret de puissance1-Gp Batt. acide Pb, 0x04, Durée décharge max. quot., 1 Jour, 2020-03-04 00:00:00, 0.00, h
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2020-03-04 00:00:00, 6,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2020-03-04 00:00:00, 0,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2020-03-04 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2020-03-04 00:00:00, 34, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2020-03-04 00:00:00, 29, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2020-03-04 00:00:00, 32, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2020-03-04 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2020-03-04 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2020-03-04 00:00:00, 0.80, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2020-03-04 00:00:00, 11.19, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2020-03-09 00:00:00, 51.475, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2020-03-09 00:00:00, 128.302, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2020-03-09 00:00:00, 3.628,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Capac. décharge totale, 1 Jour, 2020-03-09 00:00:00, 0.16, kWh
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2020-03-09 00:00:00, 11,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2020-03-09 00:00:00, 1,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2020-03-09 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2020-03-09 00:00:00, 35, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2020-03-09 00:00:00, 33, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2020-03-09 00:00:00, 35, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2020-03-09 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2020-03-09 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2020-03-09 00:00:00, 2.68, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2020-03-09 00:00:00, 67.46, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2020-03-10 00:00:00, 74.277, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2020-03-10 00:00:00, 185.134, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2020-03-10 00:00:00, 3.675,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Capac. décharge totale, 1 Jour, 2020-03-10 00:00:00, 11.22, kWh
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2020-03-10 00:00:00, 12,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2020-03-10 00:00:00, 2,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2020-03-10 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2020-03-10 00:00:00, 35, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2020-03-10 00:00:00, 32, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2020-03-10 00:00:00, 34, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2020-03-10 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2020-03-10 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2020-03-10 00:00:00, 11.39, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2020-03-10 00:00:00, 56.99, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2020-03-11 00:00:00, 90.740, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2020-03-11 00:00:00, 226.170, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2020-03-11 00:00:00, 3.675,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Capac. décharge totale, 1 Jour, 2020-03-11 00:00:00, 34.32, kWh
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2020-03-11 00:00:00, 14,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2020-03-11 00:00:00, 4,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2020-03-11 00:00:00, 12.63, h
Régulateur, 0xEE8, Durée d'utilisation SIM1, 1 Jour, 2020-03-11 00:00:00, 0.00, h
Régulateur, 0xEE8, Durée d'utilisation SIM2, 1 Jour, 2020-03-11 00:00:00, 0.00, h
Régulateur, 0xEE8, Commutations de carte SIM1 vers SIM2, 1 Jour, 2020-03-11 00:00:00, 0,  
Régulateur, 0xEE8, Commutations de carte SIM2 vers SIM1, 1 Jour, 2020-03-11 00:00:00, 0,  
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2020-03-11 00:00:00, 36, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2020-03-11 00:00:00, 33, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2020-03-11 00:00:00, 34, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2020-03-11 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2020-03-11 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2020-03-11 00:00:00, 21.12, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2020-03-11 00:00:00, 41.16, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2020-03-12 00:00:00, 106.040, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2020-03-12 00:00:00, 264.304, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2020-03-12 00:00:00, 3.675,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Capac. décharge totale, 1 Jour, 2020-03-12 00:00:00, 63.05, kWh
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2020-03-12 00:00:00, 15,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2020-03-12 00:00:00, 5,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2020-03-12 00:00:00, 12.93, h
Régulateur, 0xEE8, Durée d'utilisation SIM1, 1 Jour, 2020-03-12 00:00:00, 0.00, h
Régulateur, 0xEE8, Durée d'utilisation SIM2, 1 Jour, 2020-03-12 00:00:00, 0.00, h
Régulateur, 0xEE8, Commutations de carte SIM1 vers SIM2, 1 Jour, 2020-03-12 00:00:00, 0,  
Régulateur, 0xEE8, Commutations de carte SIM2 vers SIM1, 1 Jour, 2020-03-12 00:00:00, 0,  
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2020-03-12 00:00:00, 36, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2020-03-12 00:00:00, 33, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2020-03-12 00:00:00, 35, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2020-03-12 00:00:00, 0.00, h
