Équipement,ID d'équipement,Données performance,Période statistique,Heure de début stats,Valeur,Unité,
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2022-12-14 00:00:00, 399.24, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2022-12-14 00:00:00, 466.99, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2022-12-15 00:00:00, 164051.516, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2022-12-15 00:00:00, 408898.375, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2022-12-15 00:00:00, 40.788,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Capac. décharge totale, 1 Jour, 2022-12-15 00:00:00, 235945.88, kWh
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2022-12-15 00:00:00, 9031,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2022-12-15 00:00:00, 8919,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2022-12-15 00:00:00, 12.92, h
Régulateur, 0xEE8, Durée d'utilisation SIM1, 1 Jour, 2022-12-15 00:00:00, 0.00, h
Régulateur, 0xEE8, Durée d'utilisation SIM2, 1 Jour, 2022-12-15 00:00:00, 0.00, h
Régulateur, 0xEE8, Commutations de carte SIM1 vers SIM2, 1 Jour, 2022-12-15 00:00:00, 0,  
Régulateur, 0xEE8, Commutations de carte SIM2 vers SIM1, 1 Jour, 2022-12-15 00:00:00, 0,  
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2022-12-15 00:00:00, 45, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2022-12-15 00:00:00, 33, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2022-12-15 00:00:00, 38, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2022-12-15 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2022-12-15 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2022-12-15 00:00:00, 301.59, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2022-12-15 00:00:00, 353.78, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2022-12-16 00:00:00, 164227.531, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2022-12-16 00:00:00, 409337.094, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2022-12-16 00:00:00, 40.788,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Capac. décharge totale, 1 Jour, 2022-12-16 00:00:00, 236037.94, kWh
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2022-12-16 00:00:00, 9043,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2022-12-16 00:00:00, 8930,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2022-12-16 00:00:00, 13.97, h
Régulateur, 0xEE8, Durée d'utilisation SIM1, 1 Jour, 2022-12-16 00:00:00, 0.00, h
Régulateur, 0xEE8, Durée d'utilisation SIM2, 1 Jour, 2022-12-16 00:00:00, 0.00, h
Régulateur, 0xEE8, Commutations de carte SIM1 vers SIM2, 1 Jour, 2022-12-16 00:00:00, 0,  
Régulateur, 0xEE8, Commutations de carte SIM2 vers SIM1, 1 Jour, 2022-12-16 00:00:00, 0,  
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2022-12-16 00:00:00, 45, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2022-12-16 00:00:00, 33, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2022-12-16 00:00:00, 38, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2022-12-16 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2022-12-16 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2022-12-16 00:00:00, 382.02, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2022-12-16 00:00:00, 421.05, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2022-12-17 00:00:00, 164420.547, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2022-12-17 00:00:00, 409818.188, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2022-12-17 00:00:00, 40.788,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Capac. décharge totale, 1 Jour, 2022-12-17 00:00:00, 236338.56, kWh
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2022-12-17 00:00:00, 9043,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2022-12-17 00:00:00, 8931,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2022-12-17 00:00:00, 0.00, h
Régulateur, 0xEE8, Durée d'utilisation SIM1, 1 Jour, 2022-12-17 00:00:00, 0.00, h
Régulateur, 0xEE8, Durée d'utilisation SIM2, 1 Jour, 2022-12-17 00:00:00, 0.00, h
Régulateur, 0xEE8, Commutations de carte SIM1 vers SIM2, 1 Jour, 2022-12-17 00:00:00, 0,  
Régulateur, 0xEE8, Commutations de carte SIM2 vers SIM1, 1 Jour, 2022-12-17 00:00:00, 0,  
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2022-12-17 00:00:00, 44, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2022-12-17 00:00:00, 33, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2022-12-17 00:00:00, 38, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2022-12-17 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2022-12-17 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2022-12-17 00:00:00, 372.17, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2022-12-17 00:00:00, 440.41, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2022-12-18 00:00:00, 164633.234, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2022-12-18 00:00:00, 410348.344, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2022-12-18 00:00:00, 40.788,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Capac. décharge totale, 1 Jour, 2022-12-18 00:00:00, 236687.09, kWh
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2022-12-18 00:00:00, 9044,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2022-12-18 00:00:00, 8932,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2022-12-18 00:00:00, 16.27, h
Régulateur, 0xEE8, Durée d'utilisation SIM1, 1 Jour, 2022-12-18 00:00:00, 0.00, h
Régulateur, 0xEE8, Durée d'utilisation SIM2, 1 Jour, 2022-12-18 00:00:00, 0.00, h
Régulateur, 0xEE8, Commutations de carte SIM1 vers SIM2, 1 Jour, 2022-12-18 00:00:00, 0,  
Régulateur, 0xEE8, Commutations de carte SIM2 vers SIM1, 1 Jour, 2022-12-18 00:00:00, 0,  
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2022-12-18 00:00:00, 44, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2022-12-18 00:00:00, 33, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2022-12-18 00:00:00, 38, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2022-12-18 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2022-12-18 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2022-12-18 00:00:00, 432.09, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2022-12-18 00:00:00, 501.82, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2022-12-19 00:00:00, 164848.312, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2022-12-19 00:00:00, 410884.406, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2022-12-19 00:00:00, 40.788,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Capac. décharge totale, 1 Jour, 2022-12-19 00:00:00, 236872.94, kWh
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2022-12-19 00:00:00, 9045,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2022-12-19 00:00:00, 8933,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2022-12-19 00:00:00, 15.50, h
Régulateur, 0xEE8, Durée d'utilisation SIM1, 1 Jour, 2022-12-19 00:00:00, 0.00, h
Régulateur, 0xEE8, Durée d'utilisation SIM2, 1 Jour, 2022-12-19 00:00:00, 0.00, h
Régulateur, 0xEE8, Commutations de carte SIM1 vers SIM2, 1 Jour, 2022-12-19 00:00:00, 0,  
Régulateur, 0xEE8, Commutations de carte SIM2 vers SIM1, 1 Jour, 2022-12-19 00:00:00, 0,  
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2022-12-19 00:00:00, 47, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2022-12-19 00:00:00, 32, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2022-12-19 00:00:00, 38, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2022-12-19 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2022-12-19 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2022-12-19 00:00:00, 422.04, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2022-12-19 00:00:00, 494.64, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2022-12-20 00:00:00, 165019.578, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2022-12-20 00:00:00, 411311.281, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2022-12-20 00:00:00, 40.788,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Capac. décharge totale, 1 Jour, 2022-12-20 00:00:00, 236994.33, kWh
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2022-12-20 00:00:00, 9062,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2022-12-20 00:00:00, 8950,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2022-12-20 00:00:00, 13.50, h
Régulateur, 0xEE8, Durée d'utilisation SIM1, 1 Jour, 2022-12-20 00:00:00, 0.00, h
Régulateur, 0xEE8, Durée d'utilisation SIM2, 1 Jour, 2022-12-20 00:00:00, 0.00, h
Régulateur, 0xEE8, Commutations de carte SIM1 vers SIM2, 1 Jour, 2022-12-20 00:00:00, 0,  
Régulateur, 0xEE8, Commutations de carte SIM2 vers SIM1, 1 Jour, 2022-12-20 00:00:00, 0,  
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2022-12-20 00:00:00, 45, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2022-12-20 00:00:00, 32, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2022-12-20 00:00:00, 37, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2022-12-20 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2022-12-20 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2022-12-20 00:00:00, 362.44, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2022-12-20 00:00:00, 428.46, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2022-12-21 00:00:00, 165177.969, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2022-12-21 00:00:00, 411706.062, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2022-12-21 00:00:00, 40.788,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Capac. décharge totale, 1 Jour, 2022-12-21 00:00:00, 237305.12, kWh
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2022-12-21 00:00:00, 9064,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2022-12-21 00:00:00, 8952,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2022-12-21 00:00:00, 13.33, h
Régulateur, 0xEE8, Durée d'utilisation SIM1, 1 Jour, 2022-12-21 00:00:00, 0.00, h
Régulateur, 0xEE8, Durée d'utilisation SIM2, 1 Jour, 2022-12-21 00:00:00, 0.00, h
Régulateur, 0xEE8, Commutations de carte SIM1 vers SIM2, 1 Jour, 2022-12-21 00:00:00, 0,  
Régulateur, 0xEE8, Commutations de carte SIM2 vers SIM1, 1 Jour, 2022-12-21 00:00:00, 0,  
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2022-12-21 00:00:00, 44, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2022-12-21 00:00:00, 31, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2022-12-21 00:00:00, 37, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2022-12-21 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2022-12-21 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2022-12-21 00:00:00, 374.83, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2022-12-21 00:00:00, 438.85, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2022-12-22 00:00:00, 165384.250, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2022-12-22 00:00:00, 412220.250, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2022-12-22 00:00:00, 40.788,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Capac. décharge totale, 1 Jour, 2022-12-22 00:00:00, 237513.11, kWh
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2022-12-22 00:00:00, 9066,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2022-12-22 00:00:00, 8954,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2022-12-22 00:00:00, 15.58, h
Régulateur, 0xEE8, Durée d'utilisation SIM1, 1 Jour, 2022-12-22 00:00:00, 0.00, h
Régulateur, 0xEE8, Durée d'utilisation SIM2, 1 Jour, 2022-12-22 00:00:00, 0.00, h
Régulateur, 0xEE8, Commutations de carte SIM1 vers SIM2, 1 Jour, 2022-12-22 00:00:00, 0,  
Régulateur, 0xEE8, Commutations de carte SIM2 vers SIM1, 1 Jour, 2022-12-22 00:00:00, 0,  
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2022-12-22 00:00:00, 46, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2022-12-22 00:00:00, 31, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2022-12-22 00:00:00, 37, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2022-12-22 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2022-12-22 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2022-12-22 00:00:00, 420.84, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2022-12-22 00:00:00, 487.26, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2022-12-23 00:00:00, 165580.859, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2022-12-23 00:00:00, 412710.250, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2022-12-23 00:00:00, 40.788,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Capac. décharge totale, 1 Jour, 2022-12-23 00:00:00, 237706.84, kWh
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2022-12-23 00:00:00, 9069,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2022-12-23 00:00:00, 8957,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2022-12-23 00:00:00, 12.50, h
Régulateur, 0xEE8, Durée d'utilisation SIM1, 1 Jour, 2022-12-23 00:00:00, 0.00, h
Régulateur, 0xEE8, Durée d'utilisation SIM2, 1 Jour, 2022-12-23 00:00:00, 0.00, h
Régulateur, 0xEE8, Commutations de carte SIM1 vers SIM2, 1 Jour, 2022-12-23 00:00:00, 0,  
Régulateur, 0xEE8, Commutations de carte SIM2 vers SIM1, 1 Jour, 2022-12-23 00:00:00, 0,  
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2022-12-23 00:00:00, 45, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2022-12-23 00:00:00, 31, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2022-12-23 00:00:00, 37, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2022-12-23 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2022-12-23 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2022-12-23 00:00:00, 413.99, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2022-12-23 00:00:00, 468.36, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2022-12-24 00:00:00, 165779.141, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2022-12-24 00:00:00, 413204.500, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2022-12-24 00:00:00, 40.788,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Capac. décharge totale, 1 Jour, 2022-12-24 00:00:00, 237902.25, kWh
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2022-12-24 00:00:00, 9071,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2022-12-24 00:00:00, 8959,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2022-12-24 00:00:00, 12.42, h
Régulateur, 0xEE8, Durée d'utilisation SIM1, 1 Jour, 2022-12-24 00:00:00, 0.00, h
Régulateur, 0xEE8, Durée d'utilisation SIM2, 1 Jour, 2022-12-24 00:00:00, 0.00, h
Régulateur, 0xEE8, Commutations de carte SIM1 vers SIM2, 1 Jour, 2022-12-24 00:00:00, 0,  
Régulateur, 0xEE8, Commutations de carte SIM2 vers SIM1, 1 Jour, 2022-12-24 00:00:00, 0,  
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2022-12-24 00:00:00, 46, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2022-12-24 00:00:00, 32, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2022-12-24 00:00:00, 37, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2022-12-24 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2022-12-24 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2022-12-24 00:00:00, 405.90, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2022-12-24 00:00:00, 466.43, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2022-12-25 00:00:00, 165950.797, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2022-12-25 00:00:00, 413632.344, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2022-12-25 00:00:00, 40.788,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Capac. décharge totale, 1 Jour, 2022-12-25 00:00:00, 238277.47, kWh
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2022-12-25 00:00:00, 9072,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2022-12-25 00:00:00, 8960,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2022-12-25 00:00:00, 12.50, h
Régulateur, 0xEE8, Durée d'utilisation SIM1, 1 Jour, 2022-12-25 00:00:00, 0.00, h
Régulateur, 0xEE8, Durée d'utilisation SIM2, 1 Jour, 2022-12-25 00:00:00, 0.00, h
Régulateur, 0xEE8, Commutations de carte SIM1 vers SIM2, 1 Jour, 2022-12-25 00:00:00, 0,  
Régulateur, 0xEE8, Commutations de carte SIM2 vers SIM1, 1 Jour, 2022-12-25 00:00:00, 0,  
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2022-12-25 00:00:00, 43, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2022-12-25 00:00:00, 31, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2022-12-25 00:00:00, 37, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2022-12-25 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2022-12-25 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2022-12-25 00:00:00, 369.72, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2022-12-25 00:00:00, 434.70, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2022-12-26 00:00:00, 166130.938, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2022-12-26 00:00:00, 414081.344, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2022-12-26 00:00:00, 40.788,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Capac. décharge totale, 1 Jour, 2022-12-26 00:00:00, 238386.19, kWh
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2022-12-26 00:00:00, 9077,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2022-12-26 00:00:00, 8965,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2022-12-26 00:00:00, 12.75, h
Régulateur, 0xEE8, Durée d'utilisation SIM1, 1 Jour, 2022-12-26 00:00:00, 0.00, h
Régulateur, 0xEE8, Durée d'utilisation SIM2, 1 Jour, 2022-12-26 00:00:00, 0.00, h
Régulateur, 0xEE8, Commutations de carte SIM1 vers SIM2, 1 Jour, 2022-12-26 00:00:00, 0,  
Régulateur, 0xEE8, Commutations de carte SIM2 vers SIM1, 1 Jour, 2022-12-26 00:00:00, 0,  
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2022-12-26 00:00:00, 45, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2022-12-26 00:00:00, 32, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2022-12-26 00:00:00, 38, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2022-12-26 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2022-12-26 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2022-12-26 00:00:00, 385.33, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2022-12-26 00:00:00, 437.39, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2022-12-27 00:00:00, 166331.172, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2022-12-27 00:00:00, 414580.406, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2022-12-27 00:00:00, 40.788,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Capac. décharge totale, 1 Jour, 2022-12-27 00:00:00, 238507.06, kWh
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2022-12-27 00:00:00, 9079,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2022-12-27 00:00:00, 8967,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2022-12-27 00:00:00, 12.50, h
Régulateur, 0xEE8, Durée d'utilisation SIM1, 1 Jour, 2022-12-27 00:00:00, 0.00, h
Régulateur, 0xEE8, Durée d'utilisation SIM2, 1 Jour, 2022-12-27 00:00:00, 0.00, h
Régulateur, 0xEE8, Commutations de carte SIM1 vers SIM2, 1 Jour, 2022-12-27 00:00:00, 0,  
Régulateur, 0xEE8, Commutations de carte SIM2 vers SIM1, 1 Jour, 2022-12-27 00:00:00, 0,  
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2022-12-27 00:00:00, 46, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2022-12-27 00:00:00, 31, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2022-12-27 00:00:00, 37, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2022-12-27 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2022-12-27 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2022-12-27 00:00:00, 416.41, kWh
